Censys_missed_chi2,Censys_missed_lsvc,Censys_missed_rf,Censys_delay_chi2,Censys_delay_lsvc,Censys_delay_rf,Entrust_missed_chi2,Entrust_missed_lsvc,Entrust_missed_rf,Entrust_delay_chi2,Entrust_delay_lsvc,Entrust_delay_rf,Facebook_missed_chi2,Facebook_missed_lsvc,Facebook_missed_rf,Facebook_delay_chi2,Facebook_delay_lsvc,Facebook_delay_rf,Google_missed_chi2,Google_missed_lsvc,Google_missed_rf,Google_delay_chi2,Google_delay_lsvc,Google_delay_rf,SSLMate_missed_chi2,SSLMate_missed_lsvc,SSLMate_missed_rf,SSLMate_delay_chi2,SSLMate_delay_lsvc,SSLMate_delay_rf
Censys207: [Suffix: basketball (3.99e-02)],Censys207: [Suffix: club (0.00e+00)],Censys207: [Suffix: orguk (9.70e+01)],Censys207: [Suffix: re (1.09e+00)],Censys207: [Suffix: coke (0.00e+00)],Censys207: [Suffix: to (9.80e+01)],Entrust207: [Suffix: goth (7.93e-01)],Entrust207: [Suffix: combr (0.00e+00)],Entrust207: [Suffix: mu (9.60e+01)],Entrust207: [Suffix: gokr (3.04e+00)],Entrust207: [Suffix: comeg (0.00e+00)],Entrust207: [Suffix: spgovbr (9.80e+01)],Facebook207: [Suffix: jusbr (8.92e-02)],Facebook207: [Suffix: club (0.00e+00)],Facebook207: [Suffix: coao (9.40e+01)],Facebook207: [Suffix: ac (8.48e-01)],Facebook207: [Suffix: comhk (0.00e+00)],Facebook207: [Suffix: fun (9.40e+01)],Google207: [Suffix: pw (3.03e-01)],Google207: [Suffix: cloud (0.00e+00)],Google207: [Suffix: netbr (9.80e+01)],Google207: [Suffix: is (1.43e+00)],Google207: [Suffix: commt (0.00e+00)],Google207: [Suffix: mk (9.80e+01)],SSLMate207: [Suffix: gratis (4.49e+00)],SSLMate207: [Suffix: co (0.00e+00)],SSLMate207: [Suffix: spgovbr (9.80e+01)],SSLMate207: [Suffix: edeka (6.24e+00)],SSLMate207: [Suffix: commx (0.00e+00)],SSLMate207: [Suffix: sa (9.80e+01)]
Censys208: [Suffix: dev (3.59e-02)],Censys208: [Suffix: cn (0.00e+00)],Censys208: [Suffix: orgsg (9.60e+01)],Censys208: [Suffix: xxx (1.07e+00)],Censys208: [Suffix: cokr (0.00e+00)],Censys208: [Logged format: 1 (9.70e+01)],Entrust208: [Suffix: help (6.09e-01)],Entrust208: [Suffix: comcn (0.00e+00)],Entrust208: [Suffix: basketball (9.50e+01)],Entrust208: [Suffix: shcn (2.98e+00)],Entrust208: [Suffix: comhk (0.00e+00)],Entrust208: [Suffix: fun (9.70e+01)],Facebook208: [Suffix: spgovbr (8.92e-02)],Facebook208: [Suffix: cn (0.00e+00)],Facebook208: [Suffix: video (9.30e+01)],Facebook208: [Suffix: pro (7.80e-01)],Facebook208: [Suffix: commt (0.00e+00)],Facebook208: [Suffix: govpt (9.30e+01)],Google208: [Suffix: gratis (2.80e-01)],Google208: [Suffix: club (0.00e+00)],Google208: [Suffix: sh (9.70e+01)],Google208: [Suffix: gokr (1.32e+00)],Google208: [Suffix: community (0.00e+00)],Google208: [Suffix: wiki (9.70e+01)],SSLMate208: [Suffix: dev (4.49e+00)],SSLMate208: [Suffix: coao (0.00e+00)],SSLMate208: [Suffix: orgsg (9.70e+01)],SSLMate208: [Suffix: online (6.24e+00)],SSLMate208: [Suffix: commy (0.00e+00)],SSLMate208: [Suffix: tmallcom (9.70e+01)]
Censys209: [Suffix: rocks (3.59e-02)],Censys209: [Suffix: co (0.00e+00)],Censys209: [Suffix: orgin (9.50e+01)],Censys209: [Suffix: wvus (1.06e+00)],Censys209: [Suffix: com (0.00e+00)],Censys209: [Suffix: comsa (9.60e+01)],Entrust209: [Suffix: one (6.09e-01)],Entrust209: [Suffix: comco (0.00e+00)],Entrust209: [Suffix: club (9.40e+01)],Entrust209: [Suffix: ren (2.92e+00)],Entrust209: [Suffix: commt (0.00e+00)],Entrust209: [Suffix: cash (9.60e+01)],Facebook209: [Suffix: ren (8.92e-02)],Facebook209: [Suffix: co (0.00e+00)],Facebook209: [Suffix: uz (9.20e+01)],Facebook209: [Suffix: orggg (7.42e-01)],Facebook209: [Suffix: edu (0.00e+00)],Facebook209: [Suffix: legbr (9.20e+01)],Google209: [Suffix: gokr (2.80e-01)],Google209: [Suffix: cn (0.00e+00)],Google209: [Suffix: naganonaganojp (9.60e+01)],Google209: [Suffix: gratis (1.32e+00)],Google209: [Suffix: commx (0.00e+00)],Google209: [Suffix: k12nhus (9.60e+01)],SSLMate209: [Suffix: gokr (4.49e+00)],SSLMate209: [Suffix: coid (0.00e+00)],SSLMate209: [Suffix: squarespacecom (9.60e+01)],SSLMate209: [Suffix: nu (6.11e+00)],SSLMate209: [Suffix: comng (0.00e+00)],SSLMate209: [Suffix: hk (9.60e+01)]
Censys210: [Suffix: ao (3.23e-02)],Censys210: [Suffix: coao (0.00e+00)],Censys210: [Suffix: orggg (9.40e+01)],Censys210: [Suffix: discount (1.01e+00)],Censys210: [Suffix: comar (0.00e+00)],Censys210: [Suffix: blog (9.50e+01)],Entrust210: [Suffix: gentr (6.09e-01)],Entrust210: [Suffix: comcy (0.00e+00)],Entrust210: [Suffix: gobmx (9.30e+01)],Entrust210: [Suffix: nz (2.87e+00)],Entrust210: [Suffix: community (0.00e+00)],Entrust210: [Suffix: club (9.50e+01)],Facebook210: [Suffix: ac (8.92e-02)],Facebook210: [Suffix: coao (0.00e+00)],Facebook210: [Suffix: combo (9.10e+01)],Facebook210: [Suffix: beltr (7.42e-01)],Facebook210: [Suffix: eduau (0.00e+00)],Facebook210: [Suffix: mu (9.10e+01)],Google210: [Suffix: dev (2.80e-01)],Google210: [Suffix: co (0.00e+00)],Google210: [Suffix: online (9.50e+01)],Google210: [Suffix: acin (1.29e+00)],Google210: [Suffix: commy (0.00e+00)],Google210: [Suffix: support (9.50e+01)],SSLMate210: [Suffix: blog (4.12e+00)],SSLMate210: [Suffix: coil (0.00e+00)],SSLMate210: [Logged format: 1 (9.50e+01)],SSLMate210: [Suffix: discount (6.11e+00)],SSLMate210: [Suffix: comau (0.00e+00)],SSLMate210: [Suffix: cf (9.50e+01)]
Censys211: [Suffix: jusbr (3.19e-02)],Censys211: [Suffix: coid (0.00e+00)],Censys211: [Suffix: orgco (9.30e+01)],Censys211: [Suffix: cf (1.01e+00)],Censys211: [Suffix: comau (0.00e+00)],Censys211: [Suffix: acjp (9.40e+01)],Entrust211: [Suffix: netbr (6.09e-01)],Entrust211: [Suffix: comeg (0.00e+00)],Entrust211: [Suffix: k12inus (9.20e+01)],Entrust211: [Suffix: win (2.87e+00)],Entrust211: [Suffix: commx (0.00e+00)],Entrust211: [Suffix: im (9.40e+01)],Facebook211: [Suffix: website (7.81e-02)],Facebook211: [Suffix: coid (0.00e+00)],Facebook211: [Suffix: comcy (9.00e+01)],Facebook211: [Suffix: govng (7.42e-01)],Facebook211: [Suffix: couk (0.00e+00)],Facebook211: [Suffix: coke (9.00e+01)],Google211: [Suffix: fun (2.57e-01)],Google211: [Suffix: coao (0.00e+00)],Google211: [Suffix: my (9.40e+01)],Google211: [Suffix: rocks (1.27e+00)],Google211: [Suffix: comar (0.00e+00)],Google211: [Suffix: commt (9.40e+01)],SSLMate211: [Suffix: fun (4.12e+00)],SSLMate211: [Suffix: coin (0.00e+00)],SSLMate211: [Suffix: xyz (9.40e+01)],SSLMate211: [Suffix: nicin (6.07e+00)],SSLMate211: [Suffix: edumy (0.00e+00)],SSLMate211: [Suffix: kr (9.40e+01)]
Censys212: [Suffix: kr (3.19e-02)],Censys212: [Suffix: coil (0.00e+00)],Censys212: [Suffix: orgcn (9.20e+01)],Censys212: [Suffix: xn--p1ai (1.01e+00)],Censys212: [Suffix: combo (0.00e+00)],Censys212: [Suffix: su (9.30e+01)],Entrust212: [Suffix: ink (6.09e-01)],Entrust212: [Suffix: commt (0.00e+00)],Entrust212: [Suffix: software (9.10e+01)],Entrust212: [Suffix: uz (2.73e+00)],Entrust212: [Suffix: educn (0.00e+00)],Entrust212: [Suffix: xyz (9.30e+01)],Facebook212: [Suffix: recbr (7.81e-02)],Facebook212: [Suffix: coil (0.00e+00)],Facebook212: [Suffix: community (8.90e+01)],Facebook212: [Suffix: comve (7.42e-01)],Facebook212: [Suffix: educo (0.00e+00)],Facebook212: [Suffix: download (8.90e+01)],Google212: [Suffix: rocks (2.57e-01)],Google212: [Suffix: coid (0.00e+00)],Google212: [Suffix: mx (9.30e+01)],Google212: [Suffix: blog (1.21e+00)],Google212: [Suffix: edumy (0.00e+00)],Google212: [Suffix: nicin (9.30e+01)],SSLMate212: [Suffix: is (4.12e+00)],SSLMate212: [Suffix: cojp (0.00e+00)],SSLMate212: [Suffix: xxx (9.30e+01)],SSLMate212: [Suffix: graphics (5.98e+00)],SSLMate212: [Suffix: cove (0.00e+00)],SSLMate212: [Suffix: store (9.30e+01)]
Censys213: [Suffix: gratis (3.19e-02)],Censys213: [Suffix: coin (0.00e+00)],Censys213: [Suffix: orgbr (9.10e+01)],Censys213: [Suffix: studio (1.01e+00)],Censys213: [Suffix: combr (0.00e+00)],Censys213: [Suffix: news (9.20e+01)],Entrust213: [Suffix: best (6.09e-01)],Entrust213: [Suffix: edu (0.00e+00)],Entrust213: [Suffix: edupe (9.00e+01)],Entrust213: [Suffix: squarespacecom (2.38e+00)],Entrust213: [Suffix: educo (0.00e+00)],Entrust213: [Suffix: win (9.20e+01)],Facebook213: [Suffix: lk (7.81e-02)],Facebook213: [Suffix: coin (0.00e+00)],Facebook213: [Suffix: edeka (8.80e+01)],Facebook213: [Suffix: my (7.42e-01)],Facebook213: [Suffix: govaf (0.00e+00)],Facebook213: [Suffix: govsa (8.80e+01)],Google213: [Suffix: blog (2.57e-01)],Google213: [Suffix: coil (0.00e+00)],Google213: [Suffix: mv (9.20e+01)],Google213: [Suffix: sa (1.11e+00)],Google213: [Suffix: cove (0.00e+00)],Google213: [Suffix: cloud (9.20e+01)],SSLMate213: [Suffix: rocks (4.12e+00)],SSLMate213: [Suffix: coke (0.00e+00)],SSLMate213: [Suffix: xn--p1ai (9.20e+01)],SSLMate213: [Suffix: gratis (5.69e+00)],SSLMate213: [Suffix: edupk (0.00e+00)],SSLMate213: [Suffix: wiki (9.20e+01)]
Censys214: [Suffix: k12nhus (3.19e-02)],Censys214: [Suffix: cojp (0.00e+00)],Censys214: [Suffix: se (9.00e+01)],Censys214: [Suffix: nu (1.01e+00)],Censys214: [Suffix: comcn (0.00e+00)],Censys214: [Suffix: xyz (9.10e+01)],Entrust214: [Suffix: orgza (6.09e-01)],Entrust214: [Suffix: couk (0.00e+00)],Entrust214: [Suffix: legbr (8.90e+01)],Entrust214: [Suffix: orgcn (2.38e+00)],Entrust214: [Suffix: cove (0.00e+00)],Entrust214: [Suffix: govit (9.10e+01)],Facebook214: [Suffix: comve (7.81e-02)],Facebook214: [Suffix: cojp (0.00e+00)],Facebook214: [Suffix: software (8.70e+01)],Facebook214: [Suffix: ai (7.42e-01)],Facebook214: [Suffix: govau (0.00e+00)],Facebook214: [Suffix: govaf (8.70e+01)],Google214: [Suffix: basketball (2.33e-01)],Google214: [Suffix: coin (0.00e+00)],Google214: [Suffix: mu (9.10e+01)],Google214: [Suffix: kr (1.10e+00)],Google214: [Suffix: edupk (0.00e+00)],Google214: [Suffix: expert (9.10e+01)],SSLMate214: [Suffix: ren (3.74e+00)],SSLMate214: [Suffix: cokr (0.00e+00)],SSLMate214: [Suffix: wvus (9.10e+01)],SSLMate214: [Suffix: gokr (5.69e+00)],SSLMate214: [Suffix: govbr (0.00e+00)],SSLMate214: [Suffix: pw (9.10e+01)]
Censys215: [Suffix: ren (3.19e-02)],Censys215: [Suffix: coke (0.00e+00)],Censys215: [Suffix: sg (8.90e+01)],Censys215: [Suffix: pro (9.77e-01)],Censys215: [Suffix: comco (0.00e+00)],Censys215: [Suffix: wiki (9.00e+01)],Entrust215: [Suffix: tk (6.09e-01)],Entrust215: [Suffix: educn (0.00e+00)],Entrust215: [Suffix: bet (8.80e+01)],Entrust215: [Suffix: st (2.38e+00)],Entrust215: [Suffix: edupe (0.00e+00)],Entrust215: [Suffix: lk (9.00e+01)],Facebook215: [Suffix: orggg (7.81e-02)],Facebook215: [Suffix: coke (0.00e+00)],Facebook215: [Suffix: su (8.60e+01)],Facebook215: [Suffix: govtr (7.42e-01)],Facebook215: [Suffix: govbr (0.00e+00)],Facebook215: [Suffix: store (8.60e+01)],Google215: [Suffix: ba (2.33e-01)],Google215: [Suffix: cojp (0.00e+00)],Google215: [Suffix: money (9.00e+01)],Google215: [Suffix: ren (1.10e+00)],Google215: [Suffix: govbr (0.00e+00)],Google215: [Suffix: blog (9.00e+01)],SSLMate215: [Suffix: basketball (3.74e+00)],SSLMate215: [Suffix: com (0.00e+00)],SSLMate215: [Suffix: ws (9.00e+01)],SSLMate215: [Suffix: govco (5.54e+00)],SSLMate215: [Suffix: govcn (0.00e+00)],SSLMate215: [Suffix: edupk (9.00e+01)]
Censys216: [Suffix: is (3.19e-02)],Censys216: [Suffix: cokr (0.00e+00)],Censys216: [Suffix: one (8.80e+01)],Censys216: [Suffix: to (9.07e-01)],Censys216: [Suffix: dz (0.00e+00)],Censys216: [Suffix: ac (8.90e+01)],Entrust216: [Suffix: community (6.09e-01)],Entrust216: [Suffix: govaf (0.00e+00)],Entrust216: [Suffix: uz (8.70e+01)],Entrust216: [Suffix: cat (2.27e+00)],Entrust216: [Suffix: govbr (0.00e+00)],Entrust216: [Suffix: orguk (8.90e+01)],Facebook216: [Suffix: gobmx (7.81e-02)],Facebook216: [Suffix: cc (0.00e+00)],Facebook216: [Suffix: lk (8.50e+01)],Facebook216: [Suffix: no (7.19e-01)],Facebook216: [Suffix: govcn (0.00e+00)],Facebook216: [Suffix: software (8.50e+01)],Google216: [Suffix: kr (2.33e-01)],Google216: [Suffix: coke (0.00e+00)],Google216: [Suffix: mobi (8.90e+01)],Google216: [Suffix: basketball (1.10e+00)],Google216: [Suffix: govcn (0.00e+00)],Google216: [Suffix: xyz (8.90e+01)],SSLMate216: [Suffix: kr (3.74e+00)],SSLMate216: [Suffix: comar (0.00e+00)],SSLMate216: [Suffix: work (8.90e+01)],SSLMate216: [Suffix: rocks (5.26e+00)],SSLMate216: [Suffix: govco (0.00e+00)],SSLMate216: [Suffix: segovbr (8.90e+01)]
Censys217: [Suffix: ai (2.79e-02)],Censys217: [Suffix: com (0.00e+00)],Censys217: [Suffix: tmallcom (8.70e+01)],Censys217: [Suffix: govaf (8.36e-01)],Censys217: [Suffix: edeka (0.00e+00)],Censys217: [Suffix: pw (8.80e+01)],Entrust217: [Suffix: top (6.09e-01)],Entrust217: [Suffix: govau (0.00e+00)],Entrust217: [Suffix: tmallcom (8.60e+01)],Entrust217: [Suffix: wiki (2.26e+00)],Entrust217: [Suffix: govcn (0.00e+00)],Entrust217: [Suffix: mv (8.80e+01)],Facebook217: [Suffix: store (7.81e-02)],Facebook217: [Suffix: dev (0.00e+00)],Facebook217: [Suffix: my (8.40e+01)],Facebook217: [Suffix: id (7.02e-01)],Facebook217: [Suffix: govco (0.00e+00)],Facebook217: [Suffix: nz (8.40e+01)],Google217: [Suffix: k12nhus (2.33e-01)],Google217: [Suffix: cokr (0.00e+00)],Google217: [Suffix: mk (8.80e+01)],Google217: [Suffix: gobar (1.09e+00)],Google217: [Suffix: govco (0.00e+00)],Google217: [Suffix: legbr (8.80e+01)],SSLMate217: [Suffix: ba (3.74e+00)],SSLMate217: [Suffix: comau (0.00e+00)],SSLMate217: [Suffix: wordpresscom (8.80e+01)],SSLMate217: [Suffix: is (5.26e+00)],SSLMate217: [Suffix: govin (0.00e+00)],SSLMate217: [Suffix: discount (8.80e+01)]
Censys218: [Suffix: beltr (2.79e-02)],Censys218: [Suffix: cf (0.00e+00)],Censys218: [Suffix: wordpresscom (8.60e+01)],Censys218: [Suffix: wordpresscom (8.16e-01)],Censys218: [Suffix: cove (0.00e+00)],Censys218: [Suffix: comve (8.70e+01)],Entrust218: [Suffix: shop (6.09e-01)],Entrust218: [Suffix: govbr (0.00e+00)],Entrust218: [Suffix: cloud (8.50e+01)],Entrust218: [Suffix: k12inus (2.24e+00)],Entrust218: [Suffix: govco (0.00e+00)],Entrust218: [Suffix: acjp (8.70e+01)],Facebook218: [Suffix: my (7.81e-02)],Facebook218: [Suffix: couk (0.00e+00)],Facebook218: [Suffix: mv (8.30e+01)],Facebook218: [Suffix: ws (6.97e-01)],Facebook218: [Suffix: govin (0.00e+00)],Facebook218: [Suffix: dev (8.30e+01)],Google218: [Suffix: k12inus (2.33e-01)],Google218: [Suffix: com (0.00e+00)],Google218: [Suffix: shcn (8.70e+01)],Google218: [Suffix: recbr (9.90e-01)],Google218: [Suffix: govin (0.00e+00)],Google218: [Suffix: govng (8.70e+01)],SSLMate218: [Suffix: k12nhus (3.74e+00)],SSLMate218: [Suffix: cl (0.00e+00)],SSLMate218: [Suffix: win (8.70e+01)],SSLMate218: [Suffix: mv (5.25e+00)],SSLMate218: [Suffix: govir (0.00e+00)],SSLMate218: [Suffix: ws (8.70e+01)]
Censys219: [Suffix: lv (2.79e-02)],Censys219: [Suffix: dk (0.00e+00)],Censys219: [Suffix: win (8.50e+01)],Censys219: [Suffix: educo (8.16e-01)],Censys219: [Suffix: eduau (0.00e+00)],Censys219: [Suffix: combo (8.60e+01)],Entrust219: [Suffix: hr (5.58e-01)],Entrust219: [Suffix: govcn (0.00e+00)],Entrust219: [Suffix: pro (8.40e+01)],Entrust219: [Suffix: rs (2.01e+00)],Entrust219: [Suffix: govin (0.00e+00)],Entrust219: [Suffix: site (8.60e+01)],Facebook219: [Suffix: beltr (7.81e-02)],Facebook219: [Suffix: dk (0.00e+00)],Facebook219: [Suffix: mobi (8.20e+01)],Facebook219: [Suffix: mk (6.36e-01)],Facebook219: [Suffix: govir (0.00e+00)],Facebook219: [Suffix: st (8.20e+01)],Google219: [Suffix: ren (2.33e-01)],Google219: [Suffix: cf (0.00e+00)],Google219: [Suffix: mg (8.60e+01)],Google219: [Suffix: club (9.50e-01)],Google219: [Suffix: govir (0.00e+00)],Google219: [Suffix: hk (8.60e+01)],SSLMate219: [Suffix: k12inus (3.74e+00)],SSLMate219: [Suffix: dnua (0.00e+00)],SSLMate219: [Suffix: wiki (8.60e+01)],SSLMate219: [Suffix: blog (5.22e+00)],SSLMate219: [Suffix: govit (0.00e+00)],SSLMate219: [Suffix: gentr (8.60e+01)]
Censys220: [Suffix: k12inus (2.79e-02)],Censys220: [Suffix: cove (0.00e+00)],Censys220: [Suffix: wiki (8.40e+01)],Censys220: [Suffix: idvtw (8.16e-01)],Censys220: [Suffix: govaf (0.00e+00)],Censys220: [Suffix: xn--p1ai (8.50e+01)],Entrust220: [Suffix: st (5.57e-01)],Entrust220: [Suffix: govco (0.00e+00)],Entrust220: [Suffix: comng (8.30e+01)],Entrust220: [Suffix: lk (2.01e+00)],Entrust220: [Suffix: govir (0.00e+00)],Entrust220: [Suffix: gobcl (8.50e+01)],Facebook220: [Suffix: govng (7.81e-02)],Facebook220: [Suffix: gokr (0.00e+00)],Facebook220: [Suffix: mk (8.10e+01)],Facebook220: [Suffix: cash (6.36e-01)],Facebook220: [Suffix: govit (0.00e+00)],Facebook220: [Suffix: ac (8.10e+01)],Google220: [Suffix: lv (2.10e-01)],Google220: [Suffix: dk (0.00e+00)],Google220: [Suffix: me (8.50e+01)],Google220: [Suffix: govco (9.22e-01)],Google220: [Suffix: govit (0.00e+00)],Google220: [Suffix: online (8.50e+01)],SSLMate220: [Suffix: lv (3.37e+00)],SSLMate220: [Suffix: cove (0.00e+00)],SSLMate220: [Suffix: website (8.50e+01)],SSLMate220: [Suffix: pw (4.85e+00)],SSLMate220: [Suffix: govng (0.00e+00)],SSLMate220: [Suffix: ren (8.50e+01)]
Censys221: [Suffix: fun (2.79e-02)],Censys221: [Suffix: download (0.00e+00)],Censys221: [Suffix: website (8.30e+01)],Censys221: [Suffix: gobes (8.16e-01)],Censys221: [Suffix: govau (0.00e+00)],Censys221: [Suffix: tk (8.40e+01)],Entrust221: [Suffix: news (5.57e-01)],Entrust221: [Suffix: govin (0.00e+00)],Entrust221: [Suffix: govau (8.20e+01)],Entrust221: [Suffix: comve (1.99e+00)],Entrust221: [Suffix: govit (0.00e+00)],Entrust221: [Suffix: pw (8.40e+01)],Facebook221: [Suffix: ai (7.81e-02)],Facebook221: [Suffix: goth (0.00e+00)],Facebook221: [Suffix: mg (8.00e+01)],Facebook221: [Suffix: al (6.36e-01)],Facebook221: [Suffix: govng (0.00e+00)],Facebook221: [Suffix: comph (8.00e+01)],Google221: [Suffix: recbr (2.10e-01)],Google221: [Suffix: cove (0.00e+00)],Google221: [Suffix: shop (8.40e+01)],Google221: [Suffix: pro (9.15e-01)],Google221: [Suffix: govng (0.00e+00)],Google221: [Suffix: ren (8.40e+01)],SSLMate221: [Suffix: recbr (3.37e+00)],SSLMate221: [Suffix: dz (0.00e+00)],SSLMate221: [Suffix: vn (8.40e+01)],SSLMate221: [Suffix: ren (4.74e+00)],SSLMate221: [Suffix: govpk (0.00e+00)],SSLMate221: [Suffix: one (8.40e+01)]
Censys222: [Suffix: gocom (2.79e-02)],Censys222: [Suffix: gouvfr (0.00e+00)],Censys222: [Suffix: vn (8.20e+01)],Censys222: [Suffix: tw (7.72e-01)],Censys222: [Suffix: govbr (0.00e+00)],Censys222: [Suffix: govsa (8.30e+01)],Entrust222: [min string length of targets (5.45e-01)],Entrust222: [Suffix: govir (0.00e+00)],Entrust222: [Suffix: orgsg (8.10e+01)],Entrust222: [Suffix: gocom (1.99e+00)],Entrust222: [Suffix: govng (0.00e+00)],Entrust222: [Suffix: download (8.30e+01)],Facebook222: [Suffix: govtr (7.81e-02)],Facebook222: [Suffix: gouvfr (0.00e+00)],Facebook222: [Suffix: rocks (7.90e+01)],Facebook222: [Suffix: to (6.19e-01)],Facebook222: [Suffix: govpk (0.00e+00)],Facebook222: [Suffix: work (7.90e+01)],Google222: [Suffix: store (1.87e-01)],Google222: [Suffix: download (0.00e+00)],Google222: [Suffix: one (8.30e+01)],Google222: [Suffix: spgovbr (8.80e-01)],Google222: [Suffix: govpk (0.00e+00)],Google222: [Suffix: dev (8.30e+01)],SSLMate222: [Suffix: store (2.99e+00)],SSLMate222: [Suffix: gouvfr (0.00e+00)],SSLMate222: [Suffix: video (8.30e+01)],SSLMate222: [Suffix: basketball (4.74e+00)],SSLMate222: [Suffix: govpt (0.00e+00)],SSLMate222: [Suffix: graphics (8.30e+01)]
Censys223: [Suffix: blog (2.79e-02)],Censys223: [Suffix: gov (0.00e+00)],Censys223: [Suffix: video (8.10e+01)],Censys223: [Suffix: dev (7.69e-01)],Censys223: [Suffix: govcn (0.00e+00)],Censys223: [Suffix: cloud (8.20e+01)],Entrust223: [Suffix: graphics (5.27e-01)],Entrust223: [Suffix: govit (0.00e+00)],Entrust223: [Suffix: re (8.00e+01)],Entrust223: [Suffix: orggg (1.99e+00)],Entrust223: [Suffix: govpk (0.00e+00)],Entrust223: [Suffix: jusbr (8.20e+01)],Facebook223: [Suffix: cash (6.69e-02)],Facebook223: [Suffix: gov (0.00e+00)],Facebook223: [Suffix: rs (7.80e+01)],Facebook223: [Suffix: xxx (6.05e-01)],Facebook223: [Suffix: govpt (0.00e+00)],Facebook223: [Suffix: k12nhus (7.80e+01)],Google223: [Suffix: spgovbr (1.87e-01)],Google223: [Suffix: gouvfr (0.00e+00)],Google223: [Suffix: segovbr (8.20e+01)],Google223: [Suffix: store (8.80e-01)],Google223: [Suffix: govpt (0.00e+00)],Google223: [Suffix: video (8.20e+01)],SSLMate223: [Suffix: spgovbr (2.99e+00)],SSLMate223: [Suffix: gov (0.00e+00)],SSLMate223: [Suffix: uz (8.20e+01)],SSLMate223: [Suffix: kr (4.74e+00)],SSLMate223: [Suffix: govsa (0.00e+00)],SSLMate223: [Suffix: download (8.20e+01)]
Censys224: [Suffix: govtr (2.79e-02)],Censys224: [Suffix: govaf (0.00e+00)],Censys224: [Suffix: uz (8.00e+01)],Censys224: [Suffix: rocks (7.69e-01)],Censys224: [Suffix: govco (0.00e+00)],Censys224: [Suffix: cf (8.10e+01)],Entrust224: [Suffix: kr (5.27e-01)],Entrust224: [Suffix: govng (0.00e+00)],Entrust224: [Suffix: graphics (7.90e+01)],Entrust224: [Suffix: ai (1.96e+00)],Entrust224: [Suffix: govpt (0.00e+00)],Entrust224: [Suffix: ee (8.10e+01)],Facebook224: [Suffix: software (6.69e-02)],Facebook224: [Suffix: discount (0.00e+00)],Facebook224: [Suffix: lv (7.70e+01)],Facebook224: [Suffix: pk (5.76e-01)],Facebook224: [Suffix: govsa (0.00e+00)],Facebook224: [Suffix: comcy (7.70e+01)],Google224: [Suffix: ac (1.87e-01)],Google224: [Suffix: gov (0.00e+00)],Google224: [Suffix: gobec (8.10e+01)],Google224: [Suffix: ac (8.80e-01)],Google224: [Suffix: govsa (0.00e+00)],Google224: [Suffix: sc (8.10e+01)],SSLMate224: [Suffix: ac (2.99e+00)],SSLMate224: [Suffix: govaf (0.00e+00)],SSLMate224: [Suffix: us (8.10e+01)],SSLMate224: [Suffix: dev (4.46e+00)],SSLMate224: [Suffix: govtr (0.00e+00)],SSLMate224: [Suffix: win (8.10e+01)]
Censys225: [Suffix: my (2.79e-02)],Censys225: [Suffix: govau (0.00e+00)],Censys225: [Suffix: uolcombr (7.90e+01)],Censys225: [Suffix: club (7.33e-01)],Censys225: [Suffix: govin (0.00e+00)],Censys225: [Suffix: recipes (8.00e+01)],Entrust225: [Suffix: blog (5.00e-01)],Entrust225: [Suffix: govpk (0.00e+00)],Entrust225: [Suffix: nicin (7.80e+01)],Entrust225: [Suffix: govtr (1.96e+00)],Entrust225: [Suffix: govsa (0.00e+00)],Entrust225: [Suffix: ws (8.00e+01)],Facebook225: [Suffix: govaf (6.69e-02)],Facebook225: [Suffix: govau (0.00e+00)],Facebook225: [Suffix: life (7.60e+01)],Facebook225: [Suffix: govco (5.71e-01)],Facebook225: [Suffix: gov (0.00e+00)],Facebook225: [Suffix: xyz (7.60e+01)],Google225: [Suffix: rs (1.87e-01)],Google225: [Suffix: govaf (0.00e+00)],Google225: [Suffix: prgovbr (8.00e+01)],Google225: [Suffix: rs (8.80e-01)],Google225: [Suffix: govtr (0.00e+00)],Google225: [Suffix: is (8.00e+01)],SSLMate225: [Suffix: jusbr (2.99e+00)],SSLMate225: [Suffix: govau (0.00e+00)],SSLMate225: [Suffix: uolcombr (8.00e+01)],SSLMate225: [Suffix: recbr (4.27e+00)],SSLMate225: [Suffix: govtw (0.00e+00)],SSLMate225: [Suffix: work (8.00e+01)]
